postcode,street_name,size_sqft,bedrooms,bathrooms,type,furnished,refurbished,lift,separate_kitchen,zone\
E1 6AN,Brick Lane,850,2,1,Apartment,Furnished,Yes,No,Yes,Zone 1\
W1D 3SR,Oxford Street,950,3,2,Apartment,Unfurnished,No,Yes,Yes,Zone 1\
SW1A 1AA,Buckingham Palace Road,1500,4,3,House,Furnished,Yes,No,No,Zone 1\
NW1 5LA,Camden High Street,700,1,1,Apartment,Unfurnished,Yes,No,No,Zone 2\
SE1 7PB,Waterloo Road,1200,3,2,Penthouse,Furnished,Yes,Yes,Yes,Zone 1\
E2 8AG,Bethnal Green Road,600,1,1,Studio,Unfurnished,No,No,Yes,Zone 2\
N1 9RL,Islington High Street,1100,2,2,Apartment,Furnished,Yes,Yes,No,Zone 2\
W11 2BQ,Portobello Road,1300,3,2,House,Unfurnished,Yes,Yes,Yes,Zone 2\
SW3 2BB,King's Road,850,2,1,Apartment,Furnished,No,No,Yes,Zone 1\
E14 5AB,Canary Wharf,950,2,2,Apartment,Furnished,Yes,Yes,Yes,Zone 2\
WC2N 5DU,Trafalgar Square,1450,4,3,House,Furnished,Yes,No,No,Zone 1\
E5 0NP,Clapton Road,750,2,1,Apartment,Unfurnished,No,No,Yes,Zone 2\
W2 2UH,Notting Hill Gate,1050,2,2,Apartment,Furnished,Yes,No,No,Zone 1\
SW7 2AZ,Gloucester Road,1400,3,2,Penthouse,Furnished,Yes,Yes,Yes,Zone 1\
N16 7XG,Stoke Newington High Street,650,1,1,Studio,Unfurnished,No,No,No,Zone 2\
SE10 9LS,Greenwich High Road,1250,3,2,House,Furnished,Yes,No,Yes,Zone 2\
W8 5TT,Kensington High Street,1350,3,2,Apartment,Furnished,Yes,Yes,No,Zone 1\
E3 2LX,Victoria Park Road,700,1,1,Apartment,Unfurnished,No,No,Yes,Zone 2\
NW3 6XE,Hampstead High Street,1600,4,3,House,Furnished,Yes,No,Yes,Zone 2\
SW11 3RF,Battersea Park Road,900,2,2,Apartment,Unfurnished,No,Yes,Yes,Zone 2\
E1 4AL,Whitechapel Road,750,2,1,Apartment,Furnished,Yes,No,Yes,Zone 2\
W6 9LA,Hammersmith Road,1100,3,2,House,Unfurnished,Yes,No,No,Zone 2\
SE1 0AA,London Bridge,1300,3,2,Penthouse,Furnished,Yes,Yes,Yes,Zone 1\
E17 7PB,Walthamstow High Street,850,2,1,Apartment,Unfurnished,No,No,Yes,Zone 3\
N5 1RB,Highbury Fields,1000,3,2,Apartment,Furnished,Yes,Yes,No,Zone 2\
W9 1EH,Maida Vale,900,2,2,Apartment,Unfurnished,Yes,No,Yes,Zone 2\
SW19 4JQ,Wimbledon Hill Road,950,2,2,Apartment,Furnished,No,No,Yes,Zone 3\
E8 1NG,Dalston Lane,800,2,1,Apartment,Furnished,Yes,No,No,Zone 2\
NW10 6HL,Willesden Green,1100,3,2,House,Unfurnished,No,No,Yes,Zone 3\
SE16 2TY,Canada Water,950,2,2,Apartment,Furnished,Yes,Yes,No,Zone 2\
SW6 1SX,Fulham Road,1200,3,2,House,Furnished,Yes,No,Yes,Zone 2\
E9 7BT,London Fields,850,2,1,Apartment,Unfurnished,No,No,Yes,Zone 2\
N7 8GR,Holloway Road,700,1,1,Studio,Furnished,Yes,No,No,Zone 2\
W14 8UD,West Kensington,1050,2,2,Apartment,Furnished,No,Yes,Yes,Zone 2\
SE1 9SG,Borough High Street,1250,3,2,Penthouse,Furnished,Yes,Yes,Yes,Zone 1\
SW10 0XD,Chelsea Embankment,1500,4,3,House,Unfurnished,Yes,No,No,Zone 1\
E10 5NN,Leyton High Road,800,2,1,Apartment,Furnished,Yes,No,Yes,Zone 3\
W1F 7RB,Soho Square,1300,3,2,Apartment,Unfurnished,No,Yes,Yes,Zone 1\
SW4 0QW,Clapham Common,900,2,2,Apartment,Furnished,Yes,Yes,No,Zone 2\
E3 4EH,Bow Road,750,2,1,Apartment,Unfurnished,No,No,Yes,Zone 2\
NW6 6HY,Kilburn High Road,950,2,2,Apartment,Furnished,Yes,No,No,Zone 2\
SE5 8RS,Camberwell Green,850,2,1,Apartment,Unfurnished,Yes,No,Yes,Zone 2\
W1J 7NT,Piccadilly,1400,3,2,Penthouse,Furnished,Yes,Yes,Yes,Zone 1\
SW17 0RT,Tooting Broadway,800,2,1,Apartment,Unfurnished,No,No,Yes,Zone 3\
E15 1PG,Stratford High Street,950,2,2,Apartment,Furnished,Yes,Yes,No,Zone 3\
N4 2AP,Finsbury Park,1100,3,2,House,Unfurnished,Yes,No,Yes,Zone 2\
W8 6NX,Notting Hill,1200,3,2,Apartment,Furnished,Yes,No,Yes,Zone 1\
SE22 8BB,East Dulwich,1000,3,2,House,Furnished,Yes,No,No,Zone 2\
E6 2LN,East Ham,850,2,1,Apartment,Unfurnished,No,No,Yes,Zone 3\
W1T 3AB,Fitzrovia,900,2,2,Apartment,Furnished,Yes,No,Yes,Zone 1\
SW15 6TD,Putney High Street,1050,2,2,Apartment,Unfurnished,No,Yes,Yes,Zone 2\
E2 0AD,Hackney Road,1150,3,2,Penthouse,Furnished,Yes,Yes,Yes,Zone 2\
NW1 6XE,Regent's Park Road,1400,3,2,House,Furnished,Yes,No,No,Zone 1\
SE8 3BT,Deptford High Street,750,2,1,Apartment,Unfurnished,No,No,Yes,Zone 2\
W1K 6JA,Mayfair,1350,3,2,Apartment,Furnished,Yes,Yes,Yes,Zone 1\
SW18 4LB,Wandsworth High Street,900,2,2,Apartment,Unfurnished,No,Yes,No,Zone 2\
E14 3AA,Poplar High Street,800,2,1,Apartment,Furnished,Yes,No,Yes,Zone 2\
W9 2NW,Little Venice,1050,2,2,Apartment,Furnished,No,Yes,Yes,Zone 2\
SE23 3HN,Forest Hill Road,850,2,1,Apartment,Unfurnished,Yes,No,No,Zone 3\
E12 6SB,Manor Park,900,2,2,Apartment,Furnished,Yes,No,Yes,Zone 3\
W1G 9RL,Marylebone Road,1150,3,2,Apartment,Furnished,Yes,Yes,No,Zone 1\